idEscola;NOME;TIPO
1;EZEQUIEL RAMOS JUNIOR;EMEF
2;FLAVIO AUGUSTO ROSA, PROF.;EMEF
3;JOSE PEDRO LEITE CORDEIRO, DR.;EMEF
4;MURURES;EMEF
5;RAIMUNDO CORREIA;EMEF
6;JARDIM BARTIRA;EMEF
7;DARCY RIBEIRO;EMEFM
8;MARIA CLARA MACHADO;CEU
9;PARQUE SAO CARLOS;CEU
10;TRES PONTES;CEU
11;CARLOS PASQUALE, PROF;EMEF
12;JOSE AMERICO DE ALMEIDA;EMEF
13;DAMA ENTRE RIOS VERDES;EMEF
14;FERNANDO DE AZEVEDO, PROF.;EMEF
15;PEDRO ALEIXO, DR.;EMEF
16;MILTON PEREIRA COSTA;EMEF
17;NEUZA AVELINO DA SILVA MELO;EMEF
18;PEDRO FUKUYEI YAMAGUCHI FERREIRA;EMEF
19;JOSEFA NICACIO ARAUJO, PROFA;EMEF
20;JURANDI GOMES DE ARAUJO, PROF.;EMEF
21;PAULO ROLIM LOUREIRO, D.;EMEF
22;ANTONIO CARLOS DE ANDRADA E SILVA;EMEF
23;NEWTON REIS, GEN.;EMEF
24;HELLIO TAVARES, DR.;EMEF
25;SUD MENNUCCI;EMEF
26;CAPISTRANO DE ABREU;EMEF
27;VIRGILIO DE MELLO FRANCO;EMEF
28;RAUL PILLA;EMEF
29;LINO DE MATTOS, SEN.;EMEF
30;VICENTE AMATO SOBRINHO, COM.;EMEF
31;ARMANDO CRIDEY RIGHETTI;EMEF
32;LUIS SAIA, ARQ.;EMEF
33;MARISA MORETTI CAMARA, PROFA.;EMEF
34;PEDRO DE FRONTIN, ALM.;EMEF
35;ANTONIA E ARTUR BEGBIE;EMEF
