idEscola;NOME;TIPO;lat;lng
1;EZEQUIEL RAMOS JUNIOR;EMEF;-23.508198;-46.392268
2;FLAVIO AUGUSTO ROSA, PROF.;EMEF;-23.482913;-46.394483
3;JOSE PEDRO LEITE CORDEIRO, DR.;EMEF;-23.508148;-46.370038
4;MURURES;EMEF;-23.476785;-46.418725
5;RAIMUNDO CORREIA;EMEF;-23.482833;-46.420574
6;JARDIM BARTIRA;EMEF;-23.513610;-46.405272
7;DARCY RIBEIRO;EMEFM;-23.494655;-46.442439
8;MARIA CLARA MACHADO;CEU;-23.513365;-46.389651
9;PARQUE SAO CARLOS;CEU;-23.509742;-46.473642
10;TRES PONTES;CEU;-23.478613;-46.381454
11;CARLOS PASQUALE, PROF;EMEF;-23.499103;-46.395172
12;JOSE AMERICO DE ALMEIDA;EMEF;-23.486701;-46.417975
13;DAMA ENTRE RIOS VERDES;EMEF;-23.510564;-46.417307
14;FERNANDO DE AZEVEDO, PROF.;EMEF;-23.520468;-46.421941
15;PEDRO ALEIXO, DR.;EMEF;-23.501429;-46.464675
16;MILTON PEREIRA COSTA;EMEF;-23.500383;-46.466948
17;NEUZA AVELINO DA SILVA MELO;EMEF;-23.486531;-46.467205
18;PEDRO FUKUYEI YAMAGUCHI FERREIRA;EMEF;-23.508740;-46.445345
19;JOSEFA NICACIO ARAUJO, PROFA;EMEF;-23.515043;-46.381345
20;JURANDI GOMES DE ARAUJO, PROF.;EMEF;-23.506262;-46.375481
21;PAULO ROLIM LOUREIRO, D.;EMEF;-23.509872;-46.434575
22;ANTONIO CARLOS DE ANDRADA E SILVA;EMEF;-23.508692;-46.447153
23;NEWTON REIS, GEN.;EMEF;-23.497117;-46.409978
24;HELLIO TAVARES, DR.;EMEF;-23.504214;-46.371894
25;SUD MENNUCCI;EMEF;;
26;CAPISTRANO DE ABREU;EMEF;-23.490229;-46.394462
27;VIRGILIO DE MELLO FRANCO;EMEF;-23.483716;-46.414556
28;RAUL PILLA;EMEF;-23.511389;-46.466533
29;LINO DE MATTOS, SEN.;EMEF;-23.504119;-46.469652
30;VICENTE AMATO SOBRINHO, COM.;EMEF;-23.494133;-46.371594
31;ARMANDO CRIDEY RIGHETTI;EMEF;-23.493264;-46.401813
32;LUIS SAIA, ARQ.;EMEF;-23.494392;-46.440185
33;MARISA MORETTI CAMARA, PROFA.;EMEF;-23.524437;-46.404902
34;PEDRO DE FRONTIN, ALM.;EMEF;-23.499855;-46.429568
35;ANTONIA E ARTUR BEGBIE;EMEF;-23.509683;-46.406470
